data_publicacao,portal,titulo,url,categoria_atual,tipo_principal_atual,gravidade_atual,tipo_sugerido_ml,prob_tipo_ml,tipo_corrigido,categoria_corrigida,gravidade_corrigida,validado,observacoes
2025-11-20,acritica,Homem é preso pela segunda vez em três dias por violência doméstica no interior do Amazonas,https://www.acritica.com/policia/homem-e-preso-pela-segunda-vez-em-tres-dias-por-violencia-domestica-no-interior-do-amazonas-1.389508,Outros,Não classificado com precisão,indefinida,NA,NA,Não classificado com precisão,Outros,indefinida,NA,NA
2025-11-19,acritica,Polícia Civil incinera quatro toneladas de entorpecentes apreendidos ao longo deste ano,https://www.acritica.com/policia/policia-civil-incinera-quatro-toneladas-de-entorpecentes-apreendidos-ao-longo-deste-ano-1.389439,Outros,Não classificado com precisão,indefinida,NA,NA,Não classificado com precisão,Outros,indefinida,NA,NA
2025-11-19,acritica,"Em Benjamin Constant, polícia prende jovem com mais de 15 quilos de pasta base de cocaína",https://www.acritica.com/policia/em-benjamin-constant-policia-prende-jovem-com-mais-de-15-quilos-de-pasta-base-de-cocaina-1.389411,Outros,Não classificado com precisão,indefinida,NA,NA,Não classificado com precisão,Outros,indefinida,NA,NA
2025-11-19,acritica,Polícia divulga imagem de adolescente que desapareceu no bairro Compensa,https://www.acritica.com/policia/policia-divulga-imagem-de-adolescente-que-desapareceu-no-bairro-compensa-1.389402,Outros,Não classificado com precisão,indefinida,NA,NA,Não classificado com precisão,Outros,indefinida,NA,NA
2025-11-19,acritica,Suspeito de estuprar duas universitárias é preso em Manaus,https://www.acritica.com/policia/suspeito-de-estuprar-duas-universitarias-e-preso-em-manaus-1.389389,Outros,Não classificado com precisão,indefinida,NA,NA,Não classificado com precisão,Outros,indefinida,NA,NA
2025-11-19,acritica,"ALE-AM autoriza novo empréstimo de R$ 1,5 bilhão à gestão Wilson Lima",https://www.acritica.com/policia/ale-am-autoriza-novo-emprestimo-de-r-1-5-bilh-o-a-gest-o-wilson-lima-1.389386,Outros,Não classificado com precisão,indefinida,NA,NA,Não classificado com precisão,Outros,indefinida,NA,NA
2025-01-18,acritica,Vegetação fluante surge com subida do rio Negro,https://www.acritica.com/manaus/vegetac-o-fluante-surge-com-subida-do-rio-negro-1.362273,Outros,Não classificado com precisão,indefinida,NA,NA,Não classificado com precisão,Outros,indefinida,NA,NA
2025-01-19,acritica,Ensaios da Batucada do boi Garantido têm novo local,https://www.acritica.com/entretenimento/ensaios-da-batucada-do-boi-garantido-tem-novo-local-1.362360,Outros,Não classificado com precisão,indefinida,NA,NA,Não classificado com precisão,Outros,indefinida,NA,NA
2025-01-18,acritica,Goleiro do São Raimundo fala sobre defender time do coração,https://www.acritica.com/esportes/goleiro-do-s-o-raimundo-fala-sobre-defender-time-do-corac-o-1.362271,Outros,Não classificado com precisão,indefinida,NA,NA,Não classificado com precisão,Outros,indefinida,NA,NA
2025-01-20,acritica,Nível do rio Solimões cai pelo quarto dia consecutivo em Tabatinga,https://www.acritica.com/geral/nivel-do-rio-solim-es-cai-pelo-quarto-dia-consecutivo-em-tabatinga-1.362404,Outros,Não classificado com precisão,indefinida,NA,NA,Não classificado com precisão,Outros,indefinida,NA,NA
2025-01-19,acritica,Nacional vence jogo-treino contra o Sete com gols de Hernane Brocador e Vitinho,https://www.acritica.com/esportes/nacional-vence-jogo-treino-contra-o-sete-com-gols-de-hernane-brocador-e-vitinho-1.362324,Outros,Não classificado com precisão,indefinida,NA,NA,Não classificado com precisão,Outros,indefinida,NA,NA
2025-01-19,acritica,Sindipetro descarta queda de preços de combustíveis com incentivo fiscal à Ream,https://www.acritica.com/economia/sindipetro-descarta-queda-de-precos-de-combustiveis-com-incentivo-fiscal-a-ream-1.362289,Outros,Não classificado com precisão,indefinida,NA,NA,Não classificado com precisão,Outros,indefinida,NA,NA
2025-01-20,acritica,Tragédia: corpos de pai e filha são resgatados após desabamento de terra,https://www.acritica.com/manaus/tragedia-corpos-de-pai-e-filha-s-o-resgatados-apos-desabamento-de-terra-1.362368,Outros,Não classificado com precisão,indefinida,NA,NA,Não classificado com precisão,Outros,indefinida,NA,NA
2025-01-19,acritica,Eleição na Ufam coloca em disputa gestão de um orçamento de quase R$ 1 bilhão,https://www.acritica.com/politica/eleic-o-na-ufam-coloca-em-disputa-gest-o-de-um-orcamento-de-quase-r-1-bilh-o-1.362285,Outros,Não classificado com precisão,indefinida,NA,NA,Não classificado com precisão,Outros,indefinida,NA,NA
2025-01-21,acritica,Prefeitura conclui 1ª fase de intervenção e trânsito é alterado na Constantino Nery,https://www.acritica.com/manaus/prefeitura-conclui-1-fase-de-intervenc-o-e-transito-e-alterado-na-constantino-nery-1.362511,Outros,Não classificado com precisão,indefinida,NA,NA,Não classificado com precisão,Outros,indefinida,NA,NA
2025-11-19,acritica,Polícia apreende mais de uma tonelada de maconha em sítio no Iranduba,https://www.acritica.com/policia/policia-apreende-mais-de-uma-tonelada-de-maconha-em-sitio-no-iranduba-1.389368,Outros,Não classificado com precisão,indefinida,NA,NA,Não classificado com precisão,Outros,indefinida,NA,NA
2025-11-19,acritica,"Facções avançam e dominam 40% do Amazonas, aponta Fórum Brasileiro de Segurança Pública",https://www.acritica.com/policia/facc-es-avancam-e-dominam-40-do-amazonas-aponta-forum-brasileiro-de-seguranca-publica-1.389351,Outros,Não classificado com precisão,indefinida,NA,NA,Não classificado com precisão,Outros,indefinida,NA,NA
2025-11-18,acritica,"Em Manacapuru, homem é preso por descumprimento de medida protetiva e ameaça contra a ex",https://www.acritica.com/policia/em-manacapuru-homem-e-preso-por-descumprimento-de-medida-protetiva-e-ameaca-contra-a-ex-1.389286,Outros,Não classificado com precisão,indefinida,NA,NA,Não classificado com precisão,Outros,indefinida,NA,NA
2025-11-18,acritica,Homem com diversos BOs por descumprimento de medida protetiva é capturado pela polícia,https://www.acritica.com/policia/homem-com-diversos-bos-por-descumprimento-de-medida-protetiva-e-capturado-pela-policia-1.389280,Outros,Não classificado com precisão,indefinida,NA,NA,Não classificado com precisão,Outros,indefinida,NA,NA
2025-11-18,acritica,Polícia identifica mãe e filha que abandonaram caixa com filhotes de cachorro na zona norte,https://www.acritica.com/policia/policia-identifica-m-e-e-filha-que-abandonaram-caixa-com-filhotes-de-cachorro-na-zona-norte-1.389278,Outros,Não classificado com precisão,indefinida,NA,NA,Não classificado com precisão,Outros,indefinida,NA,NA
2025-11-18,acritica,Operação Consórcio de Papel desarticula grupo criminoso em Manaus,https://www.acritica.com/policia/operac-o-consorcio-de-papel-desarticula-grupo-criminoso-em-manaus-1.389270,Outros,Não classificado com precisão,indefinida,NA,NA,Não classificado com precisão,Outros,indefinida,NA,NA
2025-11-18,acritica,"Denarc apreende 300 quilos de maconha avaliados em R$ 5,5 milhões",https://www.acritica.com/policia/denarc-apreende-300-quilos-de-maconha-avaliados-em-r-5-5-milh-es-1.389268,Outros,Não classificado com precisão,indefinida,NA,NA,Não classificado com precisão,Outros,indefinida,NA,NA
2025-11-17,acritica,PC-AM prende homem por agredir mãe idosa no bairro Colônia Antônio Aleixo,https://www.acritica.com/policia/pc-am-prende-homem-por-agredir-m-e-idosa-no-bairro-colonia-antonio-aleixo-1.389216,Outros,Não classificado com precisão,indefinida,NA,NA,Não classificado com precisão,Outros,indefinida,NA,NA
2025-11-17,acritica,Avô é preso por estuprar a própria neta no interior do AM,https://www.acritica.com/policia/avo-e-preso-por-estuprar-a-propria-neta-no-interior-do-am-1.389121,Outros,Não classificado com precisão,indefinida,NA,NA,Não classificado com precisão,Outros,indefinida,NA,NA
2025-11-16,acritica,Mais de 20 animais são resgatados de canil clandestino desarticulado pela Sepet,https://www.acritica.com/policia/mais-de-20-animais-s-o-resgatados-de-canil-clandestino-desarticulado-pela-sepet-1.389062,Outros,Não classificado com precisão,indefinida,NA,NA,Não classificado com precisão,Outros,indefinida,NA,NA
2025-11-16,acritica,Ameaças contra mulheres disparam e expõem rotina de violência no AM,https://www.acritica.com/policia/ameacas-contra-mulheres-disparam-e-exp-em-rotina-de-violencia-no-am-1.389041,Outros,Não classificado com precisão,indefinida,NA,NA,Não classificado com precisão,Outros,indefinida,NA,NA
2025-11-15,acritica,Homem é preso em Tefé suspeito de agredir e roubar idosa de 102 anos,https://www.acritica.com/policia/homem-e-preso-em-tefe-suspeito-de-agredir-e-roubar-idosa-de-102-anos-1.388985,Outros,Não classificado com precisão,indefinida,NA,NA,Não classificado com precisão,Outros,indefinida,NA,NA
2025-11-15,acritica,Tiroteio no “Suvaco de Cobra” mata Babidi e deixa um homem ferido em Manaus,https://www.acritica.com/policia/tiroteio-no-suvaco-de-cobra-mata-babidi-e-deixa-um-homem-ferido-em-manaus-1.388963,Outros,Não classificado com precisão,indefinida,NA,NA,Não classificado com precisão,Outros,indefinida,NA,NA
2025-11-15,acritica,Vendedora de frutas morre atropelada ao deixar trabalho na AM-070,https://www.acritica.com/policia/vendedora-de-frutas-morre-atropelada-ao-deixar-trabalho-na-am-070-1.388959,Outros,Não classificado com precisão,indefinida,NA,NA,Não classificado com precisão,Outros,indefinida,NA,NA
2025-11-14,acritica,Homem é preso por agressão física contra ex-companheira em Beruri,https://www.acritica.com/policia/homem-e-preso-por-agress-o-fisica-contra-ex-companheira-em-beruri-1.388929,Outros,Não classificado com precisão,indefinida,NA,NA,Não classificado com precisão,Outros,indefinida,NA,NA
2025-11-14,acritica,Homem é preso por violência psicológica e ameaça contra a mãe em Carauari,https://www.acritica.com/policia/homem-e-preso-por-violencia-psicologica-e-ameaca-contra-a-m-e-em-carauari-1.388927,Outros,Não classificado com precisão,indefinida,NA,NA,Não classificado com precisão,Outros,indefinida,NA,NA
2025-11-14,acritica,Professor é preso por importunação sexual contra aluna de 16 anos,https://www.acritica.com/policia/professor-e-preso-por-importunac-o-sexual-contra-aluna-de-16-anos-1.388912,Outros,Não classificado com precisão,indefinida,NA,NA,Não classificado com precisão,Outros,indefinida,NA,NA
2025-11-14,acritica,Jovem é preso por agressão física e descumprimento de medida protetiva contra ex-companheira,https://www.acritica.com/policia/jovem-e-preso-por-agress-o-fisica-e-descumprimento-de-medida-protetiva-contra-ex-companheira-1.388910,Outros,Não classificado com precisão,indefinida,NA,NA,Não classificado com precisão,Outros,indefinida,NA,NA
