portal,data_publicacao,titulo,url,crime_violento,arquivo_origem,data_coleta,categoria,tipo_principal,tipo_detalhado,gravidade,genero_vitima,idade_vitima,faixa_etaria
acritica,2025-12-24,14 detentos escapam da prisão em Maués; Polícia Militar realiza buscas por fugitivos,https://www.acritica.com/policia/14-detentos-escapam-da-pris-o-em-maues-policia-militar-realiza-buscas-por-fugitivos-1.392094,FALSE,noticias_raw_acritica_20250101_20251228.csv,NA,Outros,Não classificado com precisão,Requer análise manual,indefinida,indefinido,NA,idade não informada
g1_amazonas,2025-12-24,‘A luta continua’: família e amigos cobram Justiça em missa de 30 dias de Benício,https://g1.globo.com/am/amazonas/noticia/2025/12/23/a-luta-continua-familia-e-amigos-cobram-justica-em-missa-de-30-dias-de-benicio.ghtml,FALSE,noticias_raw_g1_amazonas_20250101_20251228.csv,NA,Outros,Não classificado com precisão,Requer análise manual,indefinida,indefinido,NA,idade não informada
emtempo,2025-11-08,Abin diz que UPPs impulsionaram expansão do CV para estados como o Amazonas,https://emtempo.com.br/433579/policia/upps-expansao-cv-amazonas/,TRUE,noticias_raw_emtempo_20250101_20251217.csv,NA,Crime Organizado,Tráfico de Drogas/Facções,Tráfico associado a facção criminosa,alta,indefinido,NA,idade não informada
acritica,2025-09-03,"Absolvidos pela segunda vez, ex-policiais querem indenização e vão pedir para serem reintegrados",https://www.acritica.com/policia/absolvidos-pela-segunda-vez-ex-policiais-querem-indenizac-o-e-v-o-pedir-para-serem-reintegrados-1.382784,FALSE,noticias_raw_acritica_20250101_20251217.csv,NA,Outros,Não classificado com precisão,Requer análise manual,indefinida,indefinido,NA,idade não informada
d24am,2025-12-17,Abusador oferecia dinheiro para tocar nas partes íntimas de criança no AM,https://d24am.com/policia/abusador-oferecia-dinheiro-para-tocar-nas-partes-intimas-de-crianca-no-am/,FALSE,noticias_raw_d24am_20250101_20251217.csv,NA,Outros,Não classificado com precisão,Requer análise manual,indefinida,indefinido,NA,idade não informada
g1_amazonas,2025-12-27,Academia Amazonense de Letras elege jornalista e historiador Abrahim Baze como novo presidente,https://g1.globo.com/am/amazonas/noticia/2025/12/27/academia-amazonense-de-letras-elege-jornalista-e-historiador-abrahim-baze-como-novo-presidente.ghtml,FALSE,noticias_raw_g1_amazonas_20250101_20251228.csv,NA,Outros,Não classificado com precisão,Requer análise manual,indefinida,indefinido,NA,idade não informada
d24am,2025-12-28,Ação apreende 15 quilos de drogas entre garrafões de água no AM,https://d24am.com/policia/acao-apreende-15-quilos-de-drogas-entre-garrafoes-de-agua-no-am/,FALSE,noticias_raw_d24am_20250101_20251228.csv,NA,Outros,Não classificado com precisão,Requer análise manual,indefinida,indefinido,NA,idade não informada
acritica,2025-08-04,Ação criminosa contra família deixa dois irmãos mortos e outro homem ferido no interior do AM,https://www.acritica.com/policia/ac-o-criminosa-contra-familia-deixa-dois-irm-os-mortos-e-outro-homem-ferido-no-interior-do-am-1.380189,TRUE,noticias_raw_acritica_20250101_20251217.csv,NA,Crime Letal Violento,Homicídio,Homicídio consumado,extrema,masculino,NA,idade não informada
acritica,2025-10-28,"Ação da PM e PF apreende 146,1 quilos de maconha, do tipo 'skunk'",https://www.acritica.com/policia/ac-o-da-pm-e-pf-apreende-146-1-quilos-de-maconha-do-tipo-skunk-1.387323,FALSE,noticias_raw_acritica_20250101_20251217.csv,NA,Outros,Não classificado com precisão,Requer análise manual,indefinida,indefinido,NA,idade não informada
acritica,2025-10-08,Ação da PM na Manaus Moderna termina com prisão por tráfico e viatura danificada por criminosos,https://www.acritica.com/policia/ac-o-da-pm-na-manaus-moderna-termina-com-pris-o-por-trafico-e-viatura-danificada-por-criminosos-1.385655,TRUE,noticias_raw_acritica_20250101_20251217.csv,NA,Crime Organizado,Tráfico de Drogas/Facções,Tráfico associado a facção criminosa,alta,indefinido,NA,idade não informada
emtempo,2025-12-04,Ação integrada apreende 370 kg de cocaína no Rio Solimões,https://emtempo.com.br/438454/policia/ficco-am-apreensao-cocaina-rio-solimoes/,FALSE,noticias_raw_emtempo_20250101_20251217.csv,NA,Outros,Não classificado com precisão,Requer análise manual,indefinida,indefinido,NA,idade não informada
acritica,2025-12-18,Ação policial prende traficante e apreende drogas e munições de armamento pesado na Compensa,https://www.acritica.com/policia/ac-o-policial-prende-traficante-e-apreende-drogas-e-munic-es-de-armamento-pesado-na-compensa-1.391651,FALSE,noticias_raw_acritica_20250101_20251228.csv,NA,Outros,Não classificado com precisão,Requer análise manual,indefinida,indefinido,NA,idade não informada
emtempo,2025-12-04,Acareação entre médica e técnica vai esclarecer morte de Benício Xavier nesta quinta,https://emtempo.com.br/438245/policia/acareacao-entre-medica-e-tecnica-vai-esclarecer-morte-de-benicio-xavier-nesta-quinta/,TRUE,noticias_raw_emtempo_20250101_20251217.csv,NA,Crime Letal Violento,Homicídio,Homicídio consumado,extrema,indefinido,NA,idade não informada
emtempo,2025-10-10,Adolescente de 13 anos desaparece após sair de casa no Mauazinho,https://emtempo.com.br/429387/policia/adolescente-desaparecida-mauazinho-manaus/,FALSE,noticias_raw_emtempo_20250101_20251217.csv,NA,Outros,Não classificado com precisão,Requer análise manual,indefinida,indefinido,13,12-17 (adolescente)
acritica,2025-09-21,Adolescente de 14 anos é apreendido por tráfico de drogas no bairro Colônia Santo Antônio,https://www.acritica.com/policia/adolescente-de-14-anos-e-apreendido-por-trafico-de-drogas-no-bairro-colonia-santo-antonio-1.384213,TRUE,noticias_raw_acritica_20250101_20251217.csv,NA,Crime Organizado,Tráfico de Drogas/Facções,Tráfico associado a facção criminosa,alta,indefinido,14,12-17 (adolescente)
emtempo,2025-11-07,Adolescente de 15 anos é apreendido com 23 tabletes de drogas em casa no Tarumã,https://emtempo.com.br/433351/policia/adolescente-de-15-anos-e-apreendido-com-23-tabletes-de-drogas-em-casa-no-taruma/,FALSE,noticias_raw_emtempo_20250101_20251217.csv,NA,Outros,Não classificado com precisão,Requer análise manual,indefinida,indefinido,15,12-17 (adolescente)
