titulo,tipo_principal,tipo_detalhado,gravidade,validado,tipo_corrigido,observacoes
Homem é preso pela segunda vez em três dias por violência doméstica no interior do Amazonas,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Justiça autoriza e “Dama do Tráfico” vai cumprir prisão domiciliar,Tráfico de Drogas/Facções,Tráfico associado a facção criminosa,alta,NA,Tráfico de Drogas/Facções,NA
Polícia Civil incinera quatro toneladas de entorpecentes apreendidos ao longo deste ano,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
"Em Benjamin Constant, polícia prende jovem com mais de 15 quilos de pasta base de cocaína",Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Homem é condenado a 18 anos de prisão pela morte de enteado com TEA,Homicídio,Homicídio consumado,extrema,NA,Homicídio,NA
PC-AM prende homem por roubo em comércio no Alvorada,Roubo/Assalto,Roubo/assalto com confronto,alta,NA,Roubo/Assalto,NA
Polícia divulga imagem de adolescente que desapareceu no bairro Compensa,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Homem condenado por roubos no interior é preso na Zona Oeste de Manaus,Roubo/Assalto,Roubo/assalto com confronto,alta,NA,Roubo/Assalto,NA
Suspeito de estuprar duas universitárias é preso em Manaus,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
"ALE-AM autoriza novo empréstimo de R$ 1,5 bilhão à gestão Wilson Lima",Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Vegetação fluante surge com subida do rio Negro,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Ensaios da Batucada do boi Garantido têm novo local,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Goleiro do São Raimundo fala sobre defender time do coração,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Nível do rio Solimões cai pelo quarto dia consecutivo em Tabatinga,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Nacional vence jogo-treino contra o Sete com gols de Hernane Brocador e Vitinho,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Sindipetro descarta queda de preços de combustíveis com incentivo fiscal à Ream,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Tragédia: corpos de pai e filha são resgatados após desabamento de terra,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Eleição na Ufam coloca em disputa gestão de um orçamento de quase R$ 1 bilhão,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Prefeitura conclui 1ª fase de intervenção e trânsito é alterado na Constantino Nery,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Jovem de 22 anos e grávida é assassinada na saída de casa noturna na zona leste de Manaus,Homicídio,Homicídio consumado,extrema,NA,Homicídio,NA
Polícia apreende mais de uma tonelada de maconha em sítio no Iranduba,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
"Facções avançam e dominam 40% do Amazonas, aponta Fórum Brasileiro de Segurança Pública",Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Execução: corpo de homem é encontrado em estrada de Parintins,Homicídio,Homicídio consumado,extrema,NA,Homicídio,NA
"Em Manacapuru, homem é preso por descumprimento de medida protetiva e ameaça contra a ex",Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Homem com diversos BOs por descumprimento de medida protetiva é capturado pela polícia,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Polícia identifica mãe e filha que abandonaram caixa com filhotes de cachorro na zona norte,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Homem condenado por tráfico de drogas é preso em Beruri,Tráfico de Drogas/Facções,Tráfico associado a facção criminosa,alta,NA,Tráfico de Drogas/Facções,NA
Operação Consórcio de Papel desarticula grupo criminoso em Manaus,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
"Denarc apreende 300 quilos de maconha avaliados em R$ 5,5 milhões",Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
PC-AM prende homem por agredir mãe idosa no bairro Colônia Antônio Aleixo,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Polícia Civil prende foragido da Justiça por tráfico de drogas no bairro Cidade de Deus,Tráfico de Drogas/Facções,Tráfico associado a facção criminosa,alta,NA,Tráfico de Drogas/Facções,NA
Condutor envolvido em acidente que matou duas pessoas tem prisão preventiva decretada,Homicídio,Homicídio consumado,extrema,NA,Homicídio,NA
Foragido por tráfico de drogas é preso no Cidade de Deus,Tráfico de Drogas/Facções,Tráfico associado a facção criminosa,alta,NA,Tráfico de Drogas/Facções,NA
Polícia procura suspeito de estupro contra universitárias no bairro Coroado,Estupro,Estupro consumado,extrema,NA,Estupro,NA
Avô é preso por estuprar a própria neta no interior do AM,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Mais de 20 animais são resgatados de canil clandestino desarticulado pela Sepet,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Ameaças contra mulheres disparam e expõem rotina de violência no AM,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
"Em Itamarati, PC-AM prende dupla condenada por homicídio qualificado e corrupção de menores",Homicídio,Homicídio consumado,extrema,NA,Homicídio,NA
Homem é preso em Tefé suspeito de agredir e roubar idosa de 102 anos,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Tiroteio no “Suvaco de Cobra” mata Babidi e deixa um homem ferido em Manaus,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Vendedora de frutas morre atropelada ao deixar trabalho na AM-070,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Homem é preso por agressão física contra ex-companheira em Beruri,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Homem é preso por violência psicológica e ameaça contra a mãe em Carauari,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
