timestamp,data_inicio,data_fim,portal,n_noticias,n_violentos
2025-11-21T03:47:15Z,2025-11-20,2025-11-20,acritica,0,0
2025-11-21T03:52:37Z,2025-11-20,2025-11-20,acritica,0,0
2025-11-21T03:56:32Z,2025-11-01,2025-11-21,acritica,0,0
2025-11-21T03:57:08Z,2025-10-01,2025-11-21,acritica,0,0
2025-11-21T03:57:40Z,2025-01-01,2025-11-21,acritica,0,0
2025-11-21T04:09:45Z,2025-11-01,2025-11-21,acritica,2,0
2025-11-21T04:11:52Z,2025-10-01,2025-11-21,acritica,2,0
2025-11-21T04:26:12Z,2025-11-01,2025-11-21,acritica,2,0
2025-11-21T04:27:23Z,2025-11-01,2025-11-21,acritica,2,0
2025-11-21T04:31:04Z,2025-11-01,2025-11-21,acritica,2,0
2025-11-21T04:32:55Z,2025-08-01,2025-11-21,acritica,2,0
2025-11-21T04:37:28Z,2025-11-20,2025-11-21,acritica,2,0
2025-11-21T04:37:58Z,2025-10-20,2025-11-21,acritica,2,0
2025-11-21T04:42:51Z,2025-11-19,2025-11-21,acritica,10,1
2025-11-21T04:45:58Z,2025-10-20,2025-11-21,acritica,10,1
2025-11-21T06:13:03Z,2025-01-01,2025-11-21,acritica,20,5
2025-11-21T06:19:08Z,2025-01-01,2025-11-21,acritica,20,5
2025-11-21T06:20:32Z,2025-01-01,2025-11-21,acritica,20,5
2025-11-21T06:22:33Z,2025-01-01,2025-11-21,acritica,20,5
2025-11-21T06:27:56Z,2025-01-01,2025-11-21,acritica,20,5
2025-11-21T07:01:18Z,2025-10-01,2025-11-21,acritica,284,69
2025-11-21T09:36:12Z,2025-01-01,2025-11-21,acritica,3958,741
2025-11-21T21:26:48Z,2025-11-15,2025-11-21,acritica,33,5
2025-11-21T23:08:53Z,2025-11-21,2025-11-21,acritica,2,0
2025-12-15T15:18:01Z,2025-12-13,2025-12-15,emtempo,10,5
2025-12-15T17:04:23Z,2025-12-01,2025-12-01,emtempo,12,2
2025-12-15T17:11:25Z,2025-12-01,2025-12-01,acritica,3,1
